HINDI,ENGLISH
Aavashyak,Necessary
Aakanksha,Aspiration
Abhivyakti,Expression
Adhikaar,Authority
Anivarya,Mandatory
Astitva,Existence
Aatmanirbhar,Self-reliance
Anubhav,Experience
Aalochana,Criticism
Anusandhan,Research
Aadarsh,Ideal
Bhaagidari,Participation
Bhaavna,Emotion
Chintan,Reflection
Chunauti,Challenge
Drishtikon,Perspective
Durdarshi,Visionary
Dayaalu,Compassion
Gaurav,Pride
Gyaan,Knowledge
Imaandari,Honesty
Jigyasa,Curiosity
Kartavya,Duty
Kaushal,Skill
Lakshya,Goal
Mahatvapurn,Important
Naitikta,Morality
Nishtha,Dedication
Nirnay,Decision
Prerna,Inspiration
Prabhav,Impact
Prayas,Effort
Prabandhan,Management
Pragati,Progress
Pratibha,Talent
Samarpan,Commitment
Samvedana,Empathy
Samriddhi,Prosperity
Sankalp,Determination
Sangharsh,Struggle
Sanskriti,Culture
Sahyog,Cooperation
Safalta,Success
Swatantrata,Freedom
Sweekar,Acceptance
Utkrisht,Excellence
Vichardhara,Ideology
Vishleshan,Analysis
Vyaktitva,Personality
Yogyata,Qualification
